Yoritomo Courtier    DUTY BEFORE HONOR    1    Like the Yasuki, the Mantis courtiers are merchants as well as diplomats, and they cultivate a personal style built around intimidation rather than friendship. Furthermore, they spend much of their lives outside of the courts dealing with some of the more unsavory characters in Rokugan. You do not lose Glory or Honor for using the Commerce skill in public, and you do not lose Honor for using the Intimidation (Control) skill. Any time you are making Social Skill Rolls against ronin, bandits, gang members, mercenaries, pirates, and other lawless types, you gain a number of Free Raises equal to your School Rank.    STORM HEART    2    When the time comes to act in the courts, the Yoritomo eschew the eloquent words of the Doji or the subtle gibes of the Scorpion in favor of straightforward bullying, browbeating friend and foe alike into accepting their position. When you use the Intimidation (Control) Skill, your Willpower is considered to be one Rank higher. When you use the Intimidation (Control) skill against a samurai with lower Status Rank than you, your Willpower is considered two Ranks higher instead.    COMMAND THE WINDS    3    The Mantis are taught to put the force of their boorish and aggressive behavior behind their words in court, making it difficult to tell whether they are lying or telling the truth. A number of times per session equal to your School Rank, if you have failed a Sincerity Social Skill Roll, you may re-roll it as an Intimidation (Control) Social Skill Roll instead. You must take the result of the Intimidation roll.    WILL OF THE STORM    4    An experienced Mantis has learned to shatter and demoralize his opponents in court with his mere presence. When initiating a conversation with someone, you may make a Contested Roll of your Intimidation (Control) / Willpower against his Etiquette (Courtesy) / Willpower. If you win the roll, he cannot spend any Void points against you for the next hour. Also, during that time he suffers a –3k0 penalty to all Social Rolls made against you. (This Technique cannot be used again until its effect expires.)    STRENGTH IN ALL THINGS    5    At this Rank the Mantis courtier’s iron willpower and threatening nature have reached perfection, allowing him to overcome all foes and to laugh in the face of threats that would make even a Hida bushi turn pale. Any time you are attempting to use the Intimidation skill against someone else, or are rolling to resist an Intimidation or Temptation Skill Roll or a Fear effect, you gain a bonus of +5k0 to the roll.
Moshi Shugenja    FAVOR OF THE SUN    1    No family has been more reverent of the various incarnations of the Sun throughout their history, and their piety has granted them great favor with the Heavens. During the day, you gain an additional Affi nity for Fire spells. This benefi t is lost at night. You also gain a Free Raise on any spells with the Thunder keyword.
Bayushi Bushi    THE WAY OF THE SCORPION    1    Scorpion bushi always seem to get the jump on opponents. You gain a bonus of +1k1 to your Initiative Rolls. You also gain a bonus of +5 to your Armor TN against any opponent with lower Initiative.    PINCERS AND TAIL    2    The infamous Scorpion feint has been the demise of many foolhardy samurai. You may make the Feint Maneuver for one Raise instead of two.    STRIKE AT THE TAIL    3    Scorpion bushi strive to keep their enemies off guard, stopping their attacks and slowing them down. When you assume a Stance at the start of your Turn, you may choose a target within 30’. If you successfully hit him during your Turn, the target is Fatigued as if he had gone without rest for 24 hours. During the Reactions Stage, an affected opponent may attempt an Earth Ring roll against a TN of 25 to negate the effects of this Technique. If he fails, the effects of this Technique end during the next Reactions Stage (the second Reactions Stage after he was struck).    STRIKE FROM ABOVE, STRIKE FROM BELOW    4    The swiftness of the Scorpion allows him to cut down foes before they realize they have been attacked. You may make melee attacks as a Simple Action instead of a Complex Action.    THE PINCERS HOLD, THE TAIL STRIKES    5    Striking an opponent’s weakest point is the Scorpion’s true path to victory. Once per encounter, you may spend a Void Point as a Complex Action to attack your opponent with a me-lee meleeWeapon. If the attack is successful, the target is Stunned. During the Reactions Stage, an affected opponent may attempt an Earth Ring roll against a TN equal to the amount of damage dealt to end the Stun effect. If he fails or does not attempt this roll, the Stun effect ends during the next Reactions Stage (the second Reactions Stage after he was struck).
Bayushi Courtier    WEAKNESS IS MY STRENGTH    1    The Bayushi are masters at ferreting out and exploiting the weaknesses and failures of others. Even if they do not know the exact nature of a rival’s secrets, the mere realization that he has some sort of secret is enough for them to work with. When you are making a Contested Social Roll against someone else, you gain a Free Raise to your roll for every 3 points of Mental or Social Disadvantages (rounded off) he possesses. Disadvantages which did not award Experience Points still count for their normal point value for the purposes of this Technique. This technique cannot award more than 5 Free Raises. The Bayushi are also known as the masters of both truth and lies, speaking so smoothly that both are indistinguishable in their mouths. You gain a Free Raise when using the Courtier skill to spread gossip, and need not Raise in order to conceal that you are the source of that gossip.    SHALLOW WATERS    2    The Scorpion know how to assess others, sensing their weaknesses so as to determine how best to bring them down. By conversing with someone for a few minutes, you can make a Contested Roll of your Investigation / Awareness against their Etiquette / Awareness. With a success, you learn the identity and rank of their lowest Mental Trait and their lowest Social Skill that has at least one Rank (the GM chooses in the case of ties). You may spend a Void point to also learn their next lowest Mental Trait and next lowest Social Skill.    ECRETS ARE BIRTHMARKS    3    At this rank, the Scorpion has become so adept at ferreting out secrets that he can lure others into revealing them in casual conversation. By speaking with someone for a few minutes, you may make a Contested Roll of your Courtier (Manipulation) / Awareness against their Etiquette (Courtesy) / Awareness to force them into revealing one Mental or Social Disadvantage they possess. If they have no such Disadvantages, this will instead reveal one Mental or Social Advantage. (Note this will only reveal the rulebook title of the Advantage / Disadvantage, not the specific nature of it. For example, you might learn that the target has “Dark Secret,” but not the specific nature of the secret.) If the roll succeeded in revealing a Disadvantage, with the GM’s permission you may take a 2-point Blackmail Advantage against this individual, for no cost in Experience Points.    SCRUTINY’S SWEET STING    4    At this rank, the Bayushi Courtier has learned to use all the information he has collected to subtly wreck his enemies, undermining their every word and deed. Any time you make a Contested Social Skill Roll against someone on whom you have Blackmail, his dice cannot explode. In addition, any time you make a Contested Social Skill Roll against someone, regardless of whether you have Blackmail on them or not, you may spend a Void point to force them to use a mental Trait of your choice (instead of the normal Trait used for the roll).    NO MORE MASKS    5    The final lesson of the Bayushi School is to force the rest of the court to see the corrupt, dishonorable world he knows, shattering the reputations of those he speaks against. A number of times per session equal to your School Rank, you may make an Opposed Social Roll of Courtier (Gossip) / Awareness against an opponent’s Etiquette (Courtesy) / Awareness. If you have Blackmail on the person you are targeting with this technique, you gain a bonus of +5k0 to total of this roll. With a success, you may inflict one social Disadvantage on the target: Bad Reputation, Sworn Enemy, or Obligation (to someone of your choice). The Disadvantage lasts for one month, unless the GM judges that the target has taken action which can expunge it sooner. (This Technique cannot be used on the same target again until its effect expires.)
Shosuro Infiltrator    THE PATH OF SHADOWS    1    The first lesson of an infiltrator is to mask all signs of one’s true nature. You lose no Honor for use of Low Skills or Ninjutsu Weapons in the service of the Scorpion Clan (subject to GM approval). You gain a bonus of +2k0 to the total of all Stealth Skill Rolls.    STRIKE FROM DARKNESS    2    A student of the Shosuro Techniques never fails to exploit any advantage held over a foe. Whenever you declare an attack against an opponent who is unaware of your presence until the moment of the attack, your Raises are not limited by your Void and you roll additional dice equal to your School Rank on the attack roll. You also roll half this number of additional unkept dice on an attack roll made against an opponent who is suffering from a Condition effect (such as Stunned or Fatigued). These two effects are not cumulative, and if both could apply, you must choose one of them. (You do not add one and one half times your School Rank in dice to an attack roll against an opponent who is both Blinded and unaware of your presence, for example.)    STEEL WITHIN SILK    3    Striking quickly and effectively is the hallmark of a true shadow warrior. When attacking from ambush as described above, or when using ninjutsu weapons (including any weapons with the Ninja keyword), you may make a melee attack (or ranged  attack, in the case of shuriken or tsubute) as a Simple Action rather than a Complex Action.    WHISPER OF STEEL    4    A master assassin strikes from shadow without ever revealing his presence. Even after attacking a target, your opponents and bystanders must succeed at a Contested Roll using Investigation (Notice) / Perception against Stealth / Agility to detect you. You may only use this Technique if you make a single attack per round. (The GM may rule that this technique does not work in situations where concealment is impossible.)    THE FINAL SILENCE    5    The true assassin requires but a single strike. After you make a damage roll as a result of a successful attack, you may spend a Void Point to increase any two dice to show 10s. These 10s do not explode. You may spend multiple Void Points in this manner, with each Void Point spent increasing the result of up to two damage dice.
Mirumoto Bushi    WAY OF THE DRAGON    1    Initiates of the Mirumoto Bushi School must master the basic principles of Niten, the two-sword technique founded by Mirumoto  himself. When wielding a katana in your main hand and a wakizashi in your off hand, you suffer no penalties of any kind for dual wielding, and you gain a bonus of your School Rank to your Armor TN (this is cumulative with the normal bonus for wielding two weapons). Additionally, when you are targeted with a spell, you may raise or lower the TN of that spell’s Spellcasting Roll by 5.    THE CALM IN MIDST OF THUNDER    2    In addition to their focus on the art of kenjutsu, the Mirumoto study the art of the duel as well in order to properly face their traditional opponents among the Kakita. While you assume the Center Stance, you gain a bonus to the total of your Iaijutsu rolls equal to your Kenjutsu Skill Rank.    STRONG AND SWIFT    3    As the exploration of Niten continues, the student learns to overwhelm opponents with a flurry of blows while maintaining a superior defense. Attacking is a Simple Action for you while you use weapons with the Samurai keyword.    FURIOUS RETALIATION    4    Once an opponent presents himself as a threat, the Mirumoto will stop at nothing to defeat him to defend the honor of the family’s teachings. During the Reactions Stage of Combat, you may choose one opponent who made or attempted an attack against you this Round. During your next Turn, you gain a bonus of +3k0 to all attack rolls against that target.    HEART OF THE DRAGON    5    Masters of the Mirumoto Bushi School seem to strike from everywhere at once. If you attack twice in the same Turn while you are wielding a katana in your main hand and a wakizashi in your off hand, you may make one additional attack with your off hand as a Free Action.
Agasha Shugenja    ELEMENTS OF ALL THINGS    1    The Agasha understand the interactions of the elements more so than perhaps any other family. When casting a spell, you may spend a Void Point to use a different Ring of your choosing rather than the appropriate Ring for that spell. This spell uses a spell slot for the Ring used to actually cast the spell. You also gain a Free Raise on any spell with the Craft keyword.
Kitsuki Investigator    KITSUKI’S METHOD    1    The Kitsuki are masters of investigation and perception, noticing the most minute and telling details with merely a glance. You gain a Free Raise on all your Investigation Skill Rolls. However, while the Kitsuki are trained for investigation and diplomacy, unlike other courtiers they do not wholly neglect the ways of the warrior. In a skirmish, you add your Perception Trait Rank to your Armor TN.    WISDOM THE WIND BRINGS    2    The Kitsuki skill at noticing small details makes it very difficult to deceive them. Anyone making a Social Skill Roll for the purpose of lying to you or otherwise deceiving you, or making a Feint or Disarm Maneuver against you in a skirmish, must add +5 to their TN for each of your Kitsuki Investigator School Ranks.    KNOW THE RHYTHM OF THE HEART    3    The Kitsuki study a secret methodology known as Ichi Miru, or “fi rst look,” which allows them to size up another person in almost a single glance. After speaking with someone for a few moments, you can roll Investigation (Notice) / Perception against a TN of their Intelligence x 5. A success grants you a true and accurate, if simple, picture of their personality and motivations. For example, you might perceive that a boisterous ronin is actually a calculating man who is trying to put on the picture of being a rude, simple fellow.    FINDING THE PATH    4    The Kitsuki has learned the art of uncovering and tracking others’ social connections and networks of alliances. By conversing with someone for a few minutes, you can make a Contested Roll of your Investigation (Interrogation) / Intelligence against their Etiquette (Courtesy) / Intelligence to identify one of their allies or enemies. Each successful Raise you make on this roll will identify another of their allies or enemies (you choose whether you learn an ally or an enemy – the GM chooses which specific person is revealed). This technique can be used against each specific person once per day.    THE EYES BETRAY THE HEART    5    Kitsuki’s method allows its master practitioners to see through even the most practiced falsehoods and tricks. At this rank, any knowing attempt to lie to you (as opposed to unwittingly passing on false information) will almost certainly fail. You automatically make a Contested Roll of your Investigation (Interrogation) / Perception against the liar’s Sincerity (Deceit) / Willpower, whether or not you suspect them of lying. Further, if you already know someone is lying to you, you gain a bonus of +5k0 on this Contested Roll, and may call Raises on the roll in an attempt to make them inadvertently give away more information than they intended (GM’s choice what information they reveal).
Togashi Monk    BLOOD OF THE KAMI    1    The blood of the Kami is barely diluted in the ruling line of the Togashi order, and the brothers chosen to serve the Dragon as Togashi vassals receive the mystical blood of a god in the form of unique tattoos. You gain two Tattoos at this rank.    BODY OF STONE    2    Mastery of the body is the fi rst essential step of a monk’s journey toward enlightenment, and martial arts are the perfect tool to bring the body and spirit into harmony. You gain a bonus of +1k1 to the total of all unarmed attack and damage rolls.    BLESSING OF THE KAMI    3    As an ise zumi continues his journey of self-discovery, accumulating new experiences along the way, he will eventually be judged worthy of additional insight in the form of new tattoos. You gain two additional Tattoos.    WILL OF STONE    4    Perfect mastery of the flesh is an indication that a soul’s journey is nearing its end. You may make unarmed attacks as a Simple Action rather than a Complex Action.    TOUCH OF THE KAMI    5    Insight into the true nature of the universe is the reward for a soul that seeks true mastery of the spirit. You gain two additional Tattoos.
Shiba Bushi    THE WAY OF THE PHOENIX    1    Shiba bushi move through battle as the Void moves through all the elements. When spending a Void Point to gain +1k1 on a roll, you may choose to spend 2 Void Points (to gain +2k2) on the roll instead. You may Guard as a Free Action; however, if you do so, your target only adds +5 to his Armor TN instead of +10.    DANCING WITH THE ELEMENTS    2    Shiba bushi become attuned to the shugenja they protect, aiding their spells and deterring those of their enemies. When you assume your Stance for the Round, you may choose a target within 30’. Whenever your target casts or is the target of a spell, you may choose to increase or decrease the TN of the spell by 5. Additionally, whenever you are the target of a spell, you may immediately choose to increase or decrease the TN of the spell by 5.    ONE WITH THE VOID    3    In battle, the Shiba can find his place in the world. This Technique automatically activates during the Reactions Stage of Combat if another character spent a Void Point during this Combat Round. You regain a Void Point. This Void Point may exceed your maximum, but all excess Void Points are lost after combat resolves. You do not learn anything regarding the source of the Void Point or how it was originally spent. This Technique only activates twice per skirmish.    MOVE WITH THE WORLD    4    Serenity brings certainty, and certainty brings speed. You may make attacks as a Simple Action instead of a Complex Action while using Polearms, Spears, or weapons with the Samurai keyword.    TOUCH OF THE VOID    5    Masters of the Shiba style can draw back the veil and allow the universe to act through them. For every Void Point you spend, you gain the effects of spending two, when applicable. Additionally, you may now spend Void Points on enhancements (as listed in the Book of Earth) twice in one Turn.
Isawa Shugenja    ISAWA'S GIFT    1    There are no greater masters of the shugenja tradition than those among the Isawa. You gain a Free Raise on all Spell Casting Rolls for spells of the element which you chose as your Affinity.
