TO SEEK THE TRUTH    1    AIR    Personal/Touch    One individual touched (may be the caster)    5 minutes    You call upon the wind to purge the mind of your target, granting him clarity. This spell may negate temporary mental or social penalties suffered as a result of a mechanical effect, including Techniques, Wound Ranks, or other spells. The TN of the Spell Casting Roll made to cast this spell is increased by an amount equal to the Technique Rank, Wound Rank, or spell Mastery Level used to create the penalty in the first place. Disadvantages permanently possessed by an individual may not be countered using this spell.
WAY OF DECEPTION    1    AIR    20'    One illusory duplicate of the caster    Concentration plus 5 minutes    You can entreat the capricious spirits of the wind to create a perfect duplicate image of you a short distance away. The illusion exactly reflects your appearance at the time the spell is cast, including your clothing and any equipment. The illusion may appear anywhere within the spell’s range, and will perform whatever actions you perform while it is in effect. (If you sit down, for instance, your duplicate will sit down as well, even if there is nothing to sit on.) Once you leave the normal range of the spell, the duplicate disappears. If you make two Raises on the Spell Casting Roll, you may leave the area of effect and the illusion will remain in whatever position it was in when you left for as long as you continue concentrating on maintaining the spell.
YARI OF AIR    1    AIR    Personal or 20'    One created weapon    5 minutes    You summon a swirling meleeWeapon of pure air, only visible as a foggy outline. The meleeWeapon’s default form is a yari, but one Raise can change its form to any other spear of your choosing. The meleeWeapon has DR 1k1. If you do not possess the Spears Skill, you may instead use your School Rank in its place. If you do possess the Spears Skill, using this meleeWeapon grants you one Free Raise that can only be used on the Feint or Increased Damage Maneuvers. This meleeWeapon disappears if is lost from your hand. Instead of summoning the yari for yourself, you may cause it to appear in the hands of an ally within 20 feet. He is treated as the caster for all purposes of the spell, but he does not gain the Free Raise bonus.
BENTEN’S TOUCH    2    AIR    Personal/Touch    Target individual (may be the caster)    1 hour    By calling upon the air kami to whisper suggestions to others, you may cause them to perceive the target of this spell more positively than they otherwise might. The target of this spell gains a bonus of +1k1, plus your Air Ring, to the total of all Social Skill rolls made for the duration of the spell. 
CALL UPON THE WIND    2    AIR    Personal or 20'    Target individual (may be the caster)    1 minute    The winds can lift and buoy, carrying even the heaviest burden into the skies for short periods. The target of this spell gains a limited form of fl ight, allowing him to move through the air unimpeded. The target of the spell may make Free Move Actions, but not Simple Move Actions, and may never move more than 10’ per round. Heavy winds can interfere with this movement or prevent it altogether. At the end of the spell’s duration, the target drifts harmlessly to the ground, no matter how high he might be.
HIDDEN VISAGE    2    AIR    Personal    Self    5 minutes    Air kami are mischievous and capricious, and enjoy anything they perceive as a joke. You may call upon them to create a subtle illusion, altering your facial features just enough that you appear to be a different person. This spell does not allow you to impersonate specifi c individuals, or even people radically different from you. You appear as a person of the same age, build, race, and gender. The differences are subtle, enough so that you could be mistaken for your own brother or cousin.
THE KAMI’S WHISPER    2    AIR    50'    10' radius    1 round    The kami of the wind can carry whispers for great distances, and can even create them if properly entreated. You can petition the kami to create a false sound, either a voice or a natural sound such as an animal’s growl or running water, for example. The sound can be no louder than a normal speaking voice, and cannot impersonate a specific person’s voice. If used to create the sound of a voice, the spell is limited to twenty words.
MISTS OF ILLUSION    2    AIR    20'    10' radius    1 minute    With greater fluency with the kami comes the ability to craft increasingly convincing images from the stuff of the wind itself. You may create illusions of any object, individual, or image that you can imagine. These images are stationary, and they must fi t within the spell’s area of effect, but they can be as simple or complex as desired. These illusions are visual only, with no auditory component, no odors, etc.
SECRETS ON THE WIND    2    AIR    10 miles    20' radius    Concentration    The kami can carry whispers across an Empire, if properly entreated to do so. This spell requires you to perform a preparation ritual in order to cast it effectively. The ritual requires ten minutes of uninterrupted meditation in the area designated as the spell’s area of effect. Any time within the 48 hours immediately following this ritual, you may cast this spell, and overhear anything being said in the prepared area. If your concentration is disrupted, the effect ends and may not be renewed without an additional preparation ritual. Only one area may be prepared via this ritual at one time.
WHISPERING WIND    2    AIR    20'     Target individual    Instantaneous    The air kami see very little difference between speech and thought, and can perceive both with relative ease. By comparing the two, the kami can determine if what has been spoken is true, or a lie. Unfortunately, they have notoriously short attention spans, and thus can only assess extremely recent conversations. By invoking this spell, you may determine if the last thing said by the target was true or false. The kami have no concept of personal opinion, however, and if the target truly believes what he said was true, the kami will believe it as well.
WOLF’S PROPOSAL    2    AIR    Personal    Self    10 minutes    This spell, crafted to facilitate initial relations between groups, is easily twisted to nefarious purposes. It calls the kami to create a subtle aura of suggestion around the caster, one that does not disguise the caster but rather causes others to perceive him as slightly more benevolent than perhaps he truly is. For the duration of this spell, your Honor Rank is considered three ranks higher for the purposes of any Lore: Bushido rolls made to determine your Honor Rank.
ESSENCE OF AIR    3    AIR    Personal    Self    5 rounds    Air can be merged with the essence of a mortal, and doing so can impart tremendous abilities, albeit at great risk to the caster. You mix with the wind itself and become insubstantial. You may not interact with any physical objects while insubstantial, although you do remain on the ground, and you may pass through solid objects at a rate of one foot per round. Your Water Ring is considered halved (rounded down) while you remain insubstantial, and you may not cast any other spells until you return to solidity.
THE EYE SHALL NOT SEE    3    AIR    Personal or Touch    Self or target individual    Concentration    You call upon the kami to create an area of distraction surrounding you, drawing all attention away from you and your actions. The kami whisper in the ears of those within 20’ of you (or of the target if you cast the spell on someone else), causing them to be conveniently distracted from your presence. You are not invisible, but those within 20’ of you will not see you as long as you do not make any loud noises or otherwise draw attention to yourself. Those outside that distance are not distracted, however, and will see you perfectly well regardless of your action or inaction.
MASK OF WIND    3    AIR    Personal    Self    1 hour    A skilled shugenja can petition the kami to create incredibly elaborate illusions to obscure one’s identity and appearance. You may use this spell to adopt the appearance of any humanoid creature of approximately the same size, up to one foot taller or shorter than you. You could use this spell to assume the guise of a kenku, for example, because they are roughly the same size as humans. A goblin or an ogre would be impossible, however, because they are too short and too large, respectively.
STRIKING THE STORM    3    AIR    Personal    Self    3 rounds    The most powerful winds can turn aside not only arrows, but steel as well. You may summon a buffet of winds that surrounds you in an unrelenting cocoon of swirling air. Your Armor TN is increased by +20 against both melee and ranged attacks. The force of the winds surrounding you prevents you from hearing others if they speak to you, however.
SUMMONING THE GALE    3    AIR    50'    Target individual (may be the caster)    Concentration    Swirling winds can be commanded to circle a designated target, preventing ranged attacks being made in either direction. This spell affects an area thirty feet around the target in all directions. Everyone within the affected area gains a +15 bonus to their Armor TN against ranged attacks. However, everyone within the area also suffers a penalty of -3k3 to all ranged attack rolls.
SUMMON FOG    3    AIR    100'    50' radius    1 minute    The kami can be petitioned to coalesce in an area as they do on the coast, creating a thick, obscuring fog. Within the area affected by your spell, the visibility is decreased to a meager fi ve feet. Fabrics and other absorbent materials within the spell’s area of effect will become damp or even wet if they remain within it long enough. Small sources of open fl ame, such as candles, might be extinguished as well, at the GM’s discretion. The moistness of fog is extremely damaging to rice paper.
YOUR HEART’S ENEMY    3    AIR    25'    One target individual    5 rounds    The kami can see into the hearts of mortals, and can use that information at a shugenja’s request. You manifest the kami as an illusion of the thing your target fears most in the world. It may be an individual (the man who killed his father), or an item (a cursed blade that brought ruin to his family), or even a vista of some sort (an image of an enemy slaying his family). This effectively generates Fear 4 that the target must overcome (see the Book of Earth for rules regarding Fear). Only the target can see the specifi cs of the illusion; others see only a hazy outline that appears to be a small fog cloud.
CALL THE SPIRIT    4    AIR    Special    Target spirit    5 minutes    Essentially an extremely powerful, specifi c form of the basic spell Summon, Call the Spirit allows a shugenja to summon any particular spirit, regardless of its realm, to have a discussion. You may use this spell to summon any spirit from any of the spirit realms, although realm denizens that are not spirits (such as Fortunes) are immune. If you know something specific about the spirit, either having seen it before or having intimate knowledge of its actions (for example, “the spirit that killed my father”), you may summon that spirit in particular. The nature of the spell prevents the spirit from attacking you unless you attack fi rst, but it will not necessarily be friendly. The spirit disappears as soon as the spell’s duration expires. This spell can potentially summon extremely dangerous creatures, such as oni, and should be used with caution.
FALSE REALM    4    AIR    250'    100' radius    1 hour    The greatest masters of the wind can create illusions of such beauty and clarity that those affected by them might truly believe they were somewhere else. You can completely alter the appearance of the terrain within the area of effect of this spell. You can make a miserable swamp look, sound, and smell like a beautiful garden, or vice versa. Although these illusions can be extraordinarily intricate and completely convincing to all other senses, they still have no substance and cannot be touched.
GIFT OF WIND    4    AIR    Personal    Self    5 minutes    The ultimate gift of the wind spirits is to become like the wind itself: unseen. The wind kami surround you and render you completely invisible. No non-magical vision can detect your presence. You can still be touched, heard, and smelled, but unless you attack someone else, you remain invisible for the duration of the spell. The kami consider attacking someone to be ruining the joke, and immediately end the spell’s effect if you do so.
KNOW THE MIND    4    AIR    10'    Target individual    3 rounds    Although the ultimate secrets of the human mind are hidden even to the winds, air kami can pluck the most immediate thoughts from the minds of others and whisper them to those who carry their favor. For the duration of this spell, you essentially hear the surface thoughts of the spell’s target. You only learn things they are actively thinking about. For example, if you asked the name of the target’s daughter, that name would appear in their mind instantly even if they had no intention of speaking it aloud. A Contested Roll using your Perception against the target’s Awareness will also allow you to assess their true emotional state, regardless of how they appear physically.
NATSUKE OF WIND    4    AIR    Touch    One hand-held object    1 hour    Although it requires great favor, the air kami are willing to coalesce into a solid form for a short period of time if they are fond enough of the priest asking them. You may create a small object out of the air itself, something that can be held in one or both hands and that does not weigh more than twenty pounds at the most. This creation is an illusion, but it can be used functionally, including infl icting damage if it is a weapon. The object disappears completely at the end of the spell’s duration.
SYMBOL OF AIR    4    AIR    Touch    Special    Permanent    Priests of the kami are capable of inscribing powerful wards that invoke the power of the elements against all who attempt to pass them. A Symbol of Air must be inscribed on a solid object, most often a door, window, gate, or other passageway. Anyone attempting to pass through this passageway or otherwise pass by the area protected by the Symbol is affected by the protective ward. Such persons must succeed at a Contested Roll using their Earth against the caster’s Air. Those who fail are affected by a powerful drowsiness, and must succeed at a Willpower Roll against the total of the Spell Casting Roll used to create the ward or fall into a deep sleep for one hour. Those affected by the spell cannot be woken by normal means, but will awaken instantly if subjected to any attack or form of harm, as the kami will not be party to such humorless tricks. You may only have one Symbol of Air in existence at any time, and Symbol spells of different elements may never affect the same area. This spell may be dispelled by another casting of Symbol of Air from any shugenja, or by destroying the surface where the Symbol was etched.
CLOUD THE MIND    4    AIR    Touch    One target individual    Permanent    This extremely invasive spell is considered blasphemous by most honorable shugenja, and many respectable shugenja orders would fi nd its use reason for excommunication if not outright execution. This spell calls upon the air kami to befuddle and dismay a target, invading their mind and infl uencing their ability to recall exactly what happened to them over a certain length of time. When this spell is successfully cast against a target, you must succeed at a Contested Roll using your Air versus the target’s Earth. If successful, the target’s memories are disrupted, and they forget what has happened to them over the course of the past week (fi ve days). This information is completely lost to the target. What’s more, the spell renders them extremely susceptible to suggestion, and you can tell them what happened to them over the course of the missing time. This allows unscrupulous shugenja to exploit others and essentially give them false memories, although certain individuals are highly resistant to this manner of manipulation. It is possible to determine that an individual was the target of this spell through use of the Commune spell, but it requires that the kami be specifi cally asked if they can detect any such manipulation.
DRAW BACK THE SHADOW    5    AIR    100'    30' radius    Instantaneous    Just as the kami craft illusions, they can cast them aside. Within the area affected by this spell, any illusions created by spells of Mastery Level 4 or lower are automatically dispelled. Spells of Mastery Level 5 or 6 require a Contested Air Roll between you and the shugenja who created those spells; if you are successful, those illusions are dispelled as well. Ongoing magical effects that are not illusions may also be dispelled by this spell, but require a Contested Ring Roll between you and their creator, using your Air versus his appropriate Ring.
ECHOES ON THE BREEZE    5    AIR    Personal    One target individual    Concentration    No destination is beyond the reach of the wind. With a simple prayer to the kami, you can send your words across the span of the Empire, whispering into the ear of anyone you need to send a message. The person must be someone you know, and the spell will establish a link between the two of you only as long as you concentrate. You may communicate with one another, although you only hear each other’s voices as whispers. Both participants are instantly aware when the connection is forged, and either can end it at any point.
LEGION OF THE MOON    5    AIR    Personal    10' radius from the caster    5 minutes    The Moon can reveal what is hidden, but also conceal those who receive its blessings. You may summon the greater blessing of the Moon and envelop a large group of people within it, completely obscuring them from sight. Every individual you choose within the area of effect of this spell is rendered invisible to all normal senses for the duration of the spell. Those within the area that you choose to exclude are not affected. Anyone affected by the spell who performs any action that physically interacts with an unaffected individual is immediately excluded from the spell effect.
SLAYER'S KNIVES    5    AIR    30'    Corridor of the air 10' wide    Instantaneous    The wind can be deadly to those unprepared for its fury. You summon a powerful wind that tears through anything in its path. At your behest, the kami create a corridor of air filled with a cutting wind that inflicts damage with a DR equal to your Air Ring +2k0 to everything in its path. (For example, a shugenja with Air 4 would infl ict 6k4 damage with this spell). Paper and light cloth are destroyed instantly, although heavier cloth may only be damaged. Anyone damaged by these winds must succeed at an Earth Ring Roll (TN 20) or be Knocked Down.
RISE, AIR    6    AIR    30'    One summoned spirit    Concentration    The wind itself will take form to defend you. The ultimate actualization of the Summon spell, this spell summons a massive kami of pure air to serve you. It takes the form of a vaguely humanoid shape, roughly ten feet in height, with an indistinct outline visible only because of small debris caught up in its body. The kami may move up to 10’ x your Air per round, and generates powerful winds in a twenty foot radius around it that hinder movement, preventing anyone from making Simple Move Actions within its area of effect. The manifest kami is treated as if it has all Physical Traits equal to your Air Ring, and attacks with a Jiujitsu Skill Rank equal to half your Air Ring. Damage from these attacks has a DR equal to your Air Ring (for example, a spirit summoned by a shugenja with Air 6 would infl ict 6k6 damage with its attacks). For purposes of taking damage, the spirit is considered to have Wounds as though it were a human with Earth equal to your Air Ring, but suffers no Wound penalties. It is Invulnerable (see the creature rules in the Book of Void for details of this ability). If it is successfully reduced to zero Wounds, it is dispelled.
THE FALSE LEGION    6    AIR    Personal    Within 100' of the caster    Concentration    The greatest illusory gift of the wind is legion. Within the area of effect of this spell, you can create a number of illusory figures up to your Air Ring x 10. These fi gures may be as detailed or as vague as you prefer (such as “Crane bushi” versus “heavy infantry of the fourth Daidoji legion”), although you must be familiar with their appearance in order for this spell to take effect (you could not, for example, replicate a family mon you have never seen). The fi gures are fully mobile and will take whatever actions you desire as long as they do not leave the spell’s area of effect. They can be seen, heard, or even smelled, but as with most illusions, they cannot physically interact with objects or individuals in any way.
WRATH OF KAZE-NO-KAMI(HURRICANE)    6    AIR    Personal    1 mile radius, centered on the caster    Concentration (special)    The wrath of the air kami, and of the Fortune of the Wind, is truly dreadful to behold. In casting this spell, you unleashthe full force of a hurricane upon your enemies. When the spell takes effect, you are standing in the eye of the storm, a zone radiating twenty feet in every direction from you, and in which no ill effects of the spell are suffered. Outside the eye, however, the brutal effects of the storm tear at everything in its path. Objects weighing less than fi ve hundred pounds are lifted by the wind and tossed into the storm. Individuals in this area must hold on to something immobile or be cast into the winds to their certain death. Everyone within the affected region who does not have sturdy shelter suffers 1k1 Wounds per minute from the winds and minor debris. There is a one in ten chance each minute that an exposed individual will instead suffer 5k5 Wounds due to being struck by a wind-borne object. This spell lasts for a maximum of one hour, although it can last far shorter times if you are disrupted while maintaining the spell. This spell may not be cast in a given area more than once per month, as it completelyexhausts the favors of the air kami to perform it.
ARMOR OF EARTH    1    EARTH    Personal    Self    10 rounds    This spell infuses the caster’s body with the strength of Earth, weakening the force of any physical or magical attack which strikes him. For the duration of the spell, you gain Reduction in an amount equal to your Earth Ring + School Rank. However, this infusion of Earth slows your movements – your Water is considered 1 Rank lower for purposes of movement while you are under the effects of this spell.
COURAGE OF THE SEVEN THUNDERS    1    EARTH    30'    Targets up to caster's Shugenja Shool Rank    10 minutes    This spell infuses the targets (who may include the caster) with fi rm and unyielding courage, bolstered by the eternal power of the Earth. For the duration of the spell, all the targets gain +5k0 to resist any kind of Fear effect, whether magical or natural. However, this spell is associated with the memory of the legendary Seven Thunders, and those whose connection to the Thunders is tenuous do not receive the same degree of blessing from the Earth kami. Samurai who are not of the original Seven Great Clans receive only +3k0 to their rolls to resist Fear. Anyone who has at least a full Rank of Shadowlands Taint cannot benefi t from this spell, although this will not actually reveal that they are Tainted. This spell may be cast as a combined ritual by two or more shugenja who know the spell, in which case they may add their highest single Earth Rank to their combined total School Ranks to determine how many targets the spell can affect.
EARTH’S STAGNATION    1    EARTH    50'    One target    6 rounds    This spell calls on the Earth in the target’s body to weigh him down, impeding his movements. The target suffers a –2k0 penalty to all rolls using the Agility trait, and his Water Ring is considered 1 Rank lower for the purpose of how far he can move.
EARTH’S TOUCH    1    EARTH    Touch    One target    1 hour    With this spell, the shugenja calls forth the Earth of the target (which may be himself), invoking the kami to strengthen his health and mental fortitude. For the duration of the spell, one of the target’s Earth Traits (chosen by the caster) is increased by 1. This does not increase the Ring itself, but it can enhance the target’s ability to withstand temptation, resist poisons, or dominate others.
ELEMENTAL WARD    1    EARTH    Touch    One target    1 hour    This spell uses the power of Earth to enhance resistance to hostile magic. The spirits of Earth armor the target’s body and soul, rejecting other kami when they try to affect the target. When the shugenja casts this spell, he chooses one Element (which cannot be Void or Maho). Spells of that element suffer a TN penalty equal to the caster’s School Rank x 5 when they are cast on anyone under the protection of this spell. (Unfortunately, this includes “friendly” magic such as healing.)
JADE STRIKE    1    EARTH    100'    One target    Instantaneous    This spell summons forth the purest of Earth kami, those of jade, in the form of a blast of iridescent green energy. The jade power fl ies out and unerringly strikes the chosen target – it cannot be intercepted or defl ected, although Magic Resistance or other forms of magical defense can thwart it. If the target has at least one Rank of Taint, the Jade Strike will infl ict damage with a DR of 3k3, burning and blackening the Tainted fl esh. However, a target who does not have at least a full Rank of Taint will not suffer any damage from the spell. Casting Jade Strike on a non-Tainted target is generally regarded as a grave insult – except perhaps among the more paranoid ranks of the Kuni family, where it is seen as merely a sensible precaution.
JUROJIN’S BALM    1    EARTH    Touch    One target    1 hour    This spell fills the target’s body with the purity and vigor of Earth, driving out poisons and impurities. If the target suffers the effects of any poison or toxin within the duration of the spell, or is already under the effects of a poison when the spell targets him, he may re-roll any failed Stamina roll to resist the poison, with a bonus of +2k0 to the second roll. (However, if the second roll is also failed, the poison has full effect.) An interesting side-effect of this spell is that it also cures drunkenness and other such effects, and it is impossible for the target to become intoxicated during the spell’s duration.
MINOR BINDING    1    EARTH    60'    One target    2 hours    This spell was pioneered by the Kuni family but has come into use among other shugenja who battle the forces of the Shadowlands, such as the Scorpion and the Phoenix. It is used to safely imprison minor Shadowlands creatures, typically for purposes of interrogation. Any Shadowlands creature with an Earth of 3 or less can be targeted with this spell. It cannot affect the Lost, Oni Lords or their spawn, or creatures with an Earth of 4 or higher, nor can it affect creatures who are not Tainted. If the spell is cast successfully, it calls forth manacles of iron, formed from pure Earth spirits, which trap and bind the target creature, rendering it physically helpless for the duration of the spell. When the spell expires, the manacles instantly crumble away into dust.
SOUL OF STONE    1    EARTH    Touch    One target    1 hour    This spell fi lls the target’s soul with the fi rm and unyielding strength of stone. For the duration of the spell, the target’s feelings are immovable, and any attempt to divert or distract him will be resisted with supernatural determination. He gains a +3k0 bonus to any rolls made to resist emotional manipulation or the distractions of desire, including Courtier (Manipulation) rolls, Temptation rolls, Compulsions, and any similar effects which the GM judges to be appropriate. However, this stony self-control also makes it difficult for the target to read and affect the emotions of others, and for the duration of the spell he suffers a –1k0 penalty to all Awareness Trait rolls and Awareness-related Skill Rolls made for the purpose of influencing others.
TETSUBO OF EARTH    1    EARTH    Personal or 20'    One created weapon    5 minutes    You summon a tetsubo of pure earth, studded with all manner of stones. The meleeWeapon’s default form is a tetsubo, but one Raise can change its form to any other heavy meleeWeapon of your choosing. The tetsubo has a DR of 2k2. When wielding this meleeWeapon, you may use your School Rank in place of your Heavy Weapons Skill if you wish. If you do have the Heavy Weapon skill, the tetsubo grants you a Free Raise for the Knockdown maneuver (this bonus does not apply if you grant the Tetsubo to another person instead of wielding it yourself). The tetsubo disappears if it is lost from your hand. Instead of summoning the tetsubo for yourself, you may cause it to appear in the hands of an ally within 20 feet. He is treated as the caster for all purposes of the spell, but does not gain the Free Raise bonus.
BE THE MOUNTAIN    2    EARTH    30'    One target creature    4 rounds    A variant of the spell Armor of Earth, designed to protect allies, this prayer causes the Earth kami to envelop the target with their embrace, covering his skin with a stony barrier that repels physical blows. The target gains Reduction of a value equal to 5x the caster’s School Rank, to a maximum of 20, but cannot take Simple Move Actions for the duration of the spell (Free Move Actions are still allowed). Only a willing ally can be targeted with this spell.
EARTH BECOMES SKY    2    EARTH    100'    One target creature    Instantaneous    This spell summons up several huge boulders from the earth, and hurls them through the air to unerringly strike one (or more) target creatures. The target struck by these boulders suffers damage with a DR equal to the caster’s Earth rank. If the caster strikes multiple targets, the DR is reduced by 1k1 for each additional target, to a minimum of 1k1 damage per target. These boulders are made of normal, mundane stone, and thus cannot normally bypass Reduction or Invulnerability, but a powerful caster can infuse the boulders with the power of Jade.
EMBRACE OF KENRO-JI-JIN    2    EARTH    Personal or Touch    One target creature    1 hour    This spell allows the target (who can be the caster or one other person) to literally dive into the ground, which becomes as clear and easy to traverse as water for him. He can see for a distance of 100 yards through the earth, and can move through it in any direction as easily as though he were in normal air. The target can see through the edge of the earth into the normal world, but he cannot attack, cast spells, speak, hear, or otherwise interact with those outside the earth unless he emerges from the ground (at which point the spell immediately ends). If the spell ends while the target is still underground, the Earth spirits are offended by the target’s continued presence, and immediately expel him into the nearest open air, wherever that might be.
FORCE OF WILL    2    EARTH    50'    One target    2 rounds    This spell infuses the target with an intense resistance to painand death, as the Earth kami bolster his will to live to superhuman levels. He is able to shrug off the pain and shock of his wounds, even continuing in the face of lethal injuries for a short time. For the duration of this spell, the target is immune to all Wound Rank penalties and effects – including the effect of being dead if the Out rank is completely fi lled. When the spell expires, however, the full effects of any Wounds apply immediately – thus, this spell typically affords either a brief chance to be healed before it is too late, or the chance to wage a fi nal battle in the face of certain death.
GRASP OF EARTH    2    EARTH    50'    One target    5 rounds    This spell causes the Earth kami to reach up and seize hold of the target, often taking the form of a massive hand or claw which grips the unfortunate creature in stony digits. The target is rendered near-immobile, able to move only 3’ per round as a Simple Move Action, and unable to move at all with a Free Move Action. The target may break free by spending a Complex Action and rolling Raw Strength at a TN equal to 5x the caster’s Earth.
HANDS OF CLAY    2    EARTH    Personal    Self    10 minutes    This spell infuses Earth spirits into the hands and feet of thecaster, allowing them to merge with the Earth found in wood, earth, and stone. This allows the caster to walk and climb along sheer surfaces, including walls and cliffs, at half his normal movement speed (rounded up). He can even hang from ceilings and move along them, although in that case he can only move 3’ with a Simple Action. When the spell ends, the effect concludes without warning, possibly leading to a painful fall.
THE MOUNTAIN’S FEET    2    EARTH    Personal or 20'    One target    1 hour    This spell fortifi es the target by rooting his feet to the stone and soil beneath, allowing him to shrug off anything that might separate him from the touch of Earth. The target gains +3k0 to resist all Knockdown maneuvers, and any spell which seeks to knock down the target, lift him into the air, or otherwise break his connection to the Earth must win a Contested roll of the spell’s Element against the caster’s Earth.
WHOLENESS OF THE WORLD    2    EARTH    Personal or 20'    One target creature    10 minutes    This spell infuses the target with the strength of Earth to such a degree that his Rings and Traits become wholly resistant to any effort to change them. Any physical or magical effect which would raise or lower his Traits or Rings is completely ineffective for the duration of this spell, as the Earth kami fi rmly rebuff any such efforts to alter the target’s Elemental balance.
